user_id,track_id,rating
1,5SuOikwiRyPMVoIQDJUgSV,0.8795180722891567
2,4qPNDBW1i3p13qLCt0Ki3A,0.6626506024096386
3,1iJBSr7s7jYXzM8EGcbK5b,0.6867469879518072
4,6lfxq3CG4xtTiEg7opyCyx,0.855421686746988
5,5vjLSffimiIP26QG5WcN2K,0.9879518072289157
6,01MVOl9KtVTNfFiBU9I7dc,0.6987951807228916
7,6Vc5wAMmXdKIAM7WUoEb7N,0.8915662650602411
8,1EzrEOXmMH3G43AXT1y7pA,0.963855421686747
9,0IktbUcnAGrvD03AWnz3Q8,0.8915662650602411
10,7k9GuJYLp2AzqokyEdwEw2,0.674698795180723
11,4mzP5mHkRvGxdhdGdAH7EJ,0.8915662650602411
12,5ivF4eQBqJiVL5IAE9jRyl,0.8313253012048193
13,4ptDJbJl35d7gQfeNteBwp,0.6265060240963856
14,0X9MxHR1rTkEHDjp95F2OO,0.746987951807229
15,4LbWtBkN82ZRhz9jqzgrb3,0.674698795180723
16,1KHdq8NK9QxnGjdXb55NiG,0.6987951807228916
17,6xKeQgzfjixSUld14qUezm,0.674698795180723
18,4Yo0igmcoNyat1secaH0OD,0.6506024096385542
19,2qLMf6TuEC3ruGJg4SMMN6,0.819277108433735
20,6CgNoAbFJ4Q4Id4EjtbXlC,0.8072289156626506
21,3S0OXQeoh0w6AY8WQVckRW,0.9036144578313253
22,210JCw2LbYD4YIs8GiZ9iP,0.7590361445783133
23,5TvE3pk05pyFIGdSY9j4DJ,0.8433734939759037
24,0BUuuEvNa5T4lMaewyiudB,0.0
25,3Hn3LfhrQOaKihdCibJsTs,0.0
26,6D33wCKzWtNEgOovgeVJ7r,0.012048192771084338
27,5IfCZDRXZrqZSm8AwE44PG,0.0
28,0dzKBptH2P5j5a0MifBMwM,0.0
29,5QAMZTM5cmLg3fHX9ZbTZi,0.0
30,2qESE1ZeWly7I3YjyTXmXh,0.0
31,3EQV1ZHtHvq9OnVRYIdbg3,0.0
32,3ax0rfGb7exLtl02LL08U9,0.0
33,1m5LC29RE52Bxy7hxvpOlL,0.0
34,3H36x7buZdQD4687VmFrwY,0.0
35,0xbMRcMFqxJq1Wa7tvWPtn,0.0
36,6h061f44HZPj1OXO2nA45d,0.0
37,62EwQLDw0dprDzuLwQ0sH1,0.0
38,3lvo0I8c2qBJDLZWqExDgC,0.0
39,1ae8XfBQ3fDEvmBjFaemGV,0.0
40,0adVktNVJXPZfhQe6B1NO5,0.0
